id|name|country
1|BERTHET, G.|FRA
2|MANDRILLON, C.|FRA
3|MANDRILLON, Maurice|FRA
4|VANDELLE, Andre|FRA
5|AUFDENBLATTEN, Adolf|SUI
6|JULEN, Alphonse|SUI
7|JULEN, Ant.|SUI
8|VAUCHER, D.|SUI
9|BREMER, V.E.|FIN
10|ESKELINEN, A.|FIN
11|HIRVONEN, H.|FIN
12|LAPPALAINEN, Martti|FIN
13|MORTIAUX, Rene|BEL
14|MULDER, Charles|BEL
15|VAN DEN BROECK, Paul|BEL
16|VERSCHUEREN, Victor|BEL
17|WILLIEMS, Henri|BEL
18|NEVEU, Alfred|SUI
19|SCHERRER, Eduard|SUI
20|SCHLAPPI, Alfred|SUI
21|SCHLAPPI, Heinrich|SUI
22|ARNOLD, Thomas|GBR
23|BROOME, Ralpf|GBR
24|RICHARDSON, Alexander|GBR
25|SOHER, Rodney|GBR
26|ALDEERT, H.|FRA
27|ANDRE, Georges|FRA
28|BENEDIC|FRA
29|CANIVET, P.|FRA
30|COURNOLLET, F.|FRA
31|PLANQUE, R.|FRA
32|AIKMAN, T.|GBR
33|ASTLEY, D.-G.|GBR
34|BROWN, V.|GBR
35|COUSIN, R.|GBR
36|JACKSON, V.-K.|GBR
37|MC LEOD, J.|GBR
38|MURRAY, T.-B.|GBR
39|WELSH, R.|GBR
40|AHLEN, J.P.|SWE
41|KRONLUND, Carl Augustus Verner|SWE
42|ODLUND, T.-M.|SWE
43|PETERSEN, C.-W.|SWE
44|PETTERSSON, C.-A.-F.|SWE
45|SEVERIN, E.-O.|SWE
46|WAHLBERG, K.-E.|SWE
47|WETTERSTROM, V.-E.|SWE
48|ANDERSON, William|GBR
49|BOULDEN, C.-B.|GBR
50|CARR-HARRIS, Louis Howland|GBR
51|CARRUTHERS, Colin Gordon|GBR
52|CARRUTHERS, Eric Dudley|GBR
53|CLARKSON, Guy E.|GBR
54|CUTHBERT, Ross George|GBR
55|HOLMES, George|GBR
56|JUKES, Hamilton|GBR
57|PATTON, B.-N.|GBR
58|PITBLADO, Edward|GBR
59|SEXTON, Blane Nathaniel|GBR
60|CAMERON, Jack|CAN
61|COLLETT, Ernest J.|CAN
62|MAC CAFFERY, Albert|CAN
63|MAC MUNN, Harold|CAN
64|MUNRO, Duncan|CAN
65|RAMSAY, W.-Beattie|CAN
66|SLATER, Cyril|CAN
67|SMITH, Reginald|CAN
68|WATSON, Harry|CAN
69|ABEL, Clarence John|USA
70|DRURY, Herbert L.|USA
71|GERAN, N.|USA
72|LACROIX, Alphonse|USA
73|LANGLEY, John Arthur|USA
74|LYONS, John Sharkey|USA
75|MAC CARTHY, Justin|USA
76|RICE, Willard|USA
77|SMALL, Irving Wheeler|USA
78|SYNNOTT, Francis Allen|USA
79|GAUTSCHI, Georges|SUI
80|GRAFSTROM, Gillis|SWE
81|BOCKL, Willy|AUT
82|MUCKELT, Ethel|GBR
83|SZABO-PLANK, Herma|AUT
84|LOUGHRAN, Beatrix|USA
85|BRUNET, Andree|FRA
86|BRUNET, Pierre|FRA
87|BERGER, Alfred|AUT
88|ENGELMANN, Helene|AUT
89|JAKOBSSON, Ludowika|FIN
90|JAKOBSSON, Walter|FIN
91|LARSEN, Roald|NOR
92|SKUTNABB, Julius|FIN
93|THUNBERG, Clas|FIN
94|MOEN, Sigurd|NOR
95|JEWTRAW, Charles|USA
96|OLSEN, Oskar|NOR
97|NIKU, Tapani|FIN
98|HAUG, Thorleif|NOR
99|GROTTUMSBRAATEN, Johan|NOR
100|STROMSTAD, Thoralf|NOR
101|HAUGEN, Anders|USA
102|THAMS, Jacob Tullin|NOR
103|BONNA, Narve|NOR
104|HESS, Hans|GER
