id|sid|name|etype
1|1|Military Patrol|m
2|2|Four-Man|m
3|3|Curling|m
4|4|Ice Hockey|m
5|5|Individual|m
6|5|Individual|w
7|5|Pairs|w
8|5|Pairs|m
9|6|10000M|m
10|6|1500M|m
11|6|5000M|m
12|6|500M|m
13|6|Combined (4 Events)|m
14|7|18KM|m
15|7|50KM|m
16|8|Individual|m
17|9|K90 Individual (70M)|m
18|2|Five-Man|m
19|10|Individual|m
20|2|Two-Man|m
21|11|Alpine Combined|m
22|11|Alpine Combined|w
23|7|4X10KM Relay|m
24|11|Downhill|m
25|11|Downhill|w
26|11|Slalom|m
27|11|Slalom|w
28|11|Giant Slalom|m
29|11|Giant Slalom|w
30|7|10KM|w
31|7|15KM|m
32|7|30KM Mass Start|m
33|7|3X5KM Relay|w
34|1|20KM|m
35|6|1000M|w
36|6|1500M|w
37|6|3000M|w
38|6|500M|w
39|12|Doubles|m
40|12|Singles|m
41|12|Singles|w
42|7|5KM|w
43|9|K120 Individual (90M)|m
44|1|4X7.5KM Relay|m
45|5|Ice Dancing|m
46|5|Ice Dancing|w
47|6|1000M|m
48|7|4X5KM Relay|w
49|1|10KM|m
50|7|20KM|w
51|6|5000M|w
52|11|Super-G|m
53|11|Super-G|w
54|8|Team|m
55|9|K120 Team (90M)|m
56|1|15KM|w
57|1|4X7.5KM Relay|w
58|1|7.5KM|w
59|13|1000M|m
60|13|3000M Relay|w
61|13|5000M Relay|m
62|13|500M|w
63|7|10KM Pursuit|m
64|7|15KM Mass Start|w
65|7|30KM|w
66|7|Combined 10KM + 15KM Pursuit|m
67|7|Combined 5KM + 10KM Pursuit|w
68|14|Moguls|m
69|14|Moguls|w
70|13|1000M|w
71|13|500M|m
72|14|Aerials|m
73|14|Aerials|w
74|3|Curling|w
75|4|Ice Hockey|w
76|15|Giant-Slalom|m
77|15|Giant-Slalom|w
78|15|Half-Pipe|m
79|15|Half-Pipe|w
80|1|10KM Pursuit|w
81|1|12.5Km Pursuit|m
82|2|Two-Man|w
83|10|Individual|w
84|13|1500M|m
85|13|1500M|w
86|7|5Km Pursuit|w
87|7|Sprint 1.5KM|m
88|7|Sprint 1.5KM|w
89|8|Sprint|m
90|15|Giant Parallel Slalom|m
91|15|Giant Parallel Slalom|w
92|1|12.5KM Mass Start|w
93|1|15KM Mass Start|m
94|1|4X6KM Relay|w
95|6|Team Pursuit|m
96|6|Team Pursuit|w
97|7|Combined 15 + 15KM Mass Start|m
98|7|Combined 7.5 + 7.5Km Mass Start|w
99|7|Team Sprint|m
100|7|Team Sprint|w
101|8|Individual Sprint|m
102|15|Snowboard Cross|m
103|15|Snowboard Cross|w
104|11|Super Combined|m
105|11|Super Combined|w
106|14|Ski Cross|m
107|14|Ski Cross|w
108|8|Individual, Ski Jumping K90 (70M)|m
109|8|Sprint K120|m
110|8|Team, 4X5 KM|m
111|1|Relay Mix|m
112|1|Relay Mix|w
113|2|Two-Woman|w
114|12|Mixed Relay|m
115|12|Mixed Relay|w
116|5|Team|m
117|5|Team|w
118|7|Combined 15+15K|m
119|7|Combined7.5+7.5|w
120|14|Ski Halfpipe|m
121|14|Ski Slopestyle|m
122|14|Ski Halfpipe|w
123|14|Ski Slopestyle|w
124|8|Ind. K90 (70M)|m
125|9|Large Hill|m
126|9|Normal Hill|m
127|9|Teams|m
128|9|K90 Individual|w
129|15|Giant Parall.S.|m
130|15|Parallel Slalom|m
131|15|Slopestyle|m
132|15|Giant Parall.S.|w
133|15|Parallel Slalom|w
134|15|Slopestyle|w
135|16|100M Freestyle|m
136|16|100M Freestyle For Sailors|m
137|16|1200M Freestyle|m
138|16|400M Freestyle|m
139|17|100M|m
140|17|110M Hurdles|m
141|17|1500M|m
142|17|400M|m
143|17|800M|m
144|17|Discus Throw|m
145|17|High Jump|m
146|17|Long Jump|m
147|17|Marathon|m
148|17|Pole Vault|m
149|17|Shot Put|m
150|17|Triple Jump|m
151|18|Individual Road Race|m
152|19|100KM|m
153|19|10KM|m
154|19|12-Hour Race|m
155|19|1KM Time Trial|m
156|19|Sprint Indivual|m
157|20|Foil Individual|m
158|20|Foil, Masters|m
159|20|Sabre Individual|m
160|21|Horizontal Bar|m
161|21|Parallel Bars|m
162|21|Pommel Horse|m
163|21|Rings|m
164|21|Rope Climbing|m
165|21|Team, Horizontal Bar|m
166|21|Team, Parallel Bars|m
167|21|Vault|m
168|22|25M Army Pistol|m
169|22|25M Rapid Fire Pistol (60 Shots)|m
