id|oid|aid|eid|medal
1|23|3820|135|Gold
2|23|3821|135|Silver
3|23|3822|136|Bronze
4|23|3823|136|Gold
5|23|3824|136|Silver
6|23|3825|137|Bronze
7|23|3820|137|Gold
8|23|3826|137|Silver
9|23|3825|138|Bronze
10|23|3827|138|Gold
11|23|3828|138|Silver
12|23|3829|139|Bronze
13|23|3830|139|Bronze
14|23|3831|139|Gold
15|23|3832|139|Silver
16|23|3833|140|Gold
17|23|3834|140|Silver
18|23|3835|141|Bronze
19|23|3836|141|Gold
20|23|3837|141|Silver
21|23|3838|142|Bronze
22|23|3831|142|Gold
23|23|3839|142|Silver
24|23|3840|143|Bronze
25|23|3836|143|Gold
26|23|3841|143|Silver
27|23|3842|144|Bronze
28|23|3843|144|Gold
29|23|3844|144|Silver
30|23|3845|145|Gold
31|23|3846|145|Silver
32|23|3843|145|Silver
33|23|3846|146|Bronze
34|23|3845|146|Gold
35|23|3843|146|Silver
36|23|3847|147|Bronze
37|23|3848|147|Gold
38|23|3849|147|Silver
39|23|3850|148|Bronze
40|23|3851|148|Bronze
41|23|3852|148|Gold
42|23|3853|148|Silver
43|23|3854|149|Bronze
44|23|3843|149|Gold
45|23|3855|149|Silver
46|23|3856|150|Bronze
47|23|3846|150|Gold
48|23|3857|150|Silver
49|23|3858|151|Bronze
50|23|3859|151|Gold
51|23|3860|151|Silver
52|23|3861|152|Gold
53|23|3862|152|Silver
54|23|3863|153|Bronze
55|23|3864|153|Gold
56|23|3861|153|Silver
57|23|3863|154|Gold
58|23|3865|154|Silver
59|23|3863|155|Bronze
60|23|3864|155|Gold
61|23|3866|155|Silver
62|23|3861|156|Bronze
63|23|3864|156|Gold
64|23|3866|156|Silver
65|23|3867|157|Bronze
66|23|3868|157|Gold
67|23|3869|157|Silver
68|23|3870|158|Gold
69|23|3871|158|Silver
70|23|3872|159|Bronze
71|23|3873|159|Gold
72|23|3874|159|Silver
73|23|3875|160|Gold
74|23|3876|160|Silver
75|23|3876|161|Gold
76|23|3877|161|Silver
77|23|3877|162|Gold
78|23|3875|162|Silver
79|23|3878|163|Bronze
80|23|3879|163|Gold
81|23|3875|163|Silver
82|23|3832|164|Bronze
83|23|3880|164|Gold
84|23|3881|164|Silver
85|23|3882|165|Gold
86|23|3876|165|Gold
87|23|3883|165|Gold
88|23|3884|165|Gold
89|23|3832|165|Gold
90|23|3885|165|Gold
91|23|3886|165|Gold
92|23|3887|165|Gold
93|23|3888|165|Gold
94|23|3889|165|Gold
95|23|3875|165|Gold
96|23|3890|166|Bronze
97|23|3891|166|Bronze
98|23|3892|166|Bronze
99|23|3879|166|Bronze
100|23|3882|166|Gold
101|23|3876|166|Gold
102|23|3883|166|Gold
103|23|3884|166|Gold
104|23|3832|166|Gold
105|23|3885|166|Gold
106|23|3886|166|Gold
107|23|3887|166|Gold
108|23|3888|166|Gold
109|23|3889|166|Gold
110|23|3875|166|Gold
111|23|3880|166|Silver
112|23|3893|166|Silver
113|23|3878|166|Silver
114|23|3881|166|Silver
115|23|3875|167|Bronze
116|23|3889|167|Gold
117|23|3877|167|Silver
118|23|3894|168|Bronze
119|23|3895|168|Gold
120|23|3896|168|Silver
121|23|3872|169|Bronze
122|23|3897|169|Gold
123|23|3898|169|Silver
124|23|3897|170|Bronze
125|23|3896|170|Gold
126|23|3872|170|Silver
127|23|3899|171|Bronze
128|23|3900|171|Gold
129|23|3901|171|Silver
130|23|3902|172|Bronze
131|23|3898|172|Gold
132|23|3897|172|Silver
133|23|3903|173|Bronze
134|23|3904|173|Bronze
135|23|3905|173|Gold
136|23|3906|173|Gold
137|23|3907|173|Silver
138|23|3908|173|Silver
139|23|3909|174|Bronze
140|23|3910|174|Bronze
141|23|3911|174|Gold
142|23|3912|174|Silver
143|23|3913|175|Bronze
144|23|3914|175|Gold
145|23|3902|175|Silver
146|23|3842|176|Bronze
147|23|3902|176|Gold
148|23|3914|176|Silver
149|23|3915|177|Bronze
150|23|3889|177|Gold
151|23|3916|177|Silver
152|24|3917|178|Bronze
153|24|3918|178|Gold
154|24|3919|178|Silver
155|24|3920|179|Bronze
156|24|3921|179|Gold
157|24|3922|179|Silver
158|24|3922|180|Bronze
159|24|3923|180|Gold
160|24|3917|180|Silver
161|24|3924|181|Bronze
162|24|3923|181|Gold
163|24|3919|181|Silver
164|24|3925|182|Bronze
165|24|3926|182|Bronze
166|24|3927|182|Bronze
167|24|3928|182|Bronze
168|24|3929|182|Bronze
169|24|3930|182|Gold
170|24|3931|182|Gold
171|24|3921|182|Gold
172|24|3932|182|Gold
173|24|3933|182|Gold
174|24|3934|182|Silver
175|24|3935|182|Silver
176|24|3936|182|Silver
177|24|3937|182|Silver
178|24|3938|182|Silver
179|24|3927|183|Bronze
180|24|3918|183|Gold
181|24|3917|183|Silver
182|24|3939|184|Bronze
183|24|3940|184|Gold
184|24|3941|184|Silver
185|24|3942|185|Bronze
186|24|3943|185|Bronze
187|24|3944|185|Bronze
188|24|3945|185|Bronze
189|24|3946|185|Bronze
190|24|3947|185|Bronze
191|24|3948|185|Bronze
192|24|3949|185|Bronze
193|24|3927|185|Bronze
194|24|3928|185|Bronze
195|24|3950|185|Bronze
196|24|3951|185|Bronze
197|24|3952|185|Bronze
198|24|3953|185|Bronze
199|24|3954|185|Gold
200|24|3955|185|Gold
201|24|3924|185|Gold
202|24|3956|185|Gold
203|24|3957|185|Gold
204|24|3958|185|Gold
205|24|3959|185|Gold
206|24|3960|185|Silver
207|24|3961|185|Silver
208|24|3962|185|Silver
209|24|3963|185|Silver
210|24|3964|185|Silver
211|24|3965|185|Silver
212|24|3966|185|Silver
213|24|3967|186|Bronze
214|24|3968|186|Gold
215|24|3969|186|Silver
216|24|3970|187|Bronze
217|24|3971|187|Gold
218|24|3972|187|Silver
219|24|3967|188|Bronze
220|24|3968|188|Gold
221|24|3969|188|Silver
222|24|3973|189|Bronze
223|24|3974|189|Gold
224|24|3968|189|Silver
225|24|3975|190|Gold
226|24|3976|190|Silver
227|24|3977|190|Silver
228|24|3978|191|Bronze
229|24|3979|191|Gold
230|24|3977|191|Silver
231|24|3980|139|Bronze
232|24|3981|139|Gold
233|24|3982|139|Silver
234|24|3983|140|Bronze
235|24|3984|140|Gold
236|24|3985|140|Silver
237|24|3986|141|Bronze
238|24|3987|141|Gold
239|24|3988|141|Silver
240|24|3980|192|Bronze
241|24|3982|192|Gold
