id|oid|aid|eid|medal
1|1|1|1|Bronze
2|1|2|1|Bronze
3|1|3|1|Bronze
4|1|4|1|Bronze
5|1|5|1|Gold
6|1|6|1|Gold
7|1|7|1|Gold
8|1|8|1|Gold
9|1|9|1|Silver
10|1|10|1|Silver
11|1|11|1|Silver
12|1|12|1|Silver
13|1|13|2|Bronze
14|1|14|2|Bronze
15|1|15|2|Bronze
16|1|16|2|Bronze
17|1|17|2|Bronze
18|1|18|2|Gold
19|1|19|2|Gold
20|1|20|2|Gold
21|1|21|2|Gold
22|1|22|2|Silver
23|1|23|2|Silver
24|1|24|2|Silver
25|1|25|2|Silver
26|1|26|3|Bronze
27|1|27|3|Bronze
28|1|28|3|Bronze
29|1|29|3|Bronze
30|1|30|3|Bronze
31|1|31|3|Bronze
32|1|32|3|Gold
33|1|33|3|Gold
34|1|34|3|Gold
35|1|35|3|Gold
36|1|36|3|Gold
37|1|37|3|Gold
38|1|38|3|Gold
39|1|39|3|Gold
40|1|40|3|Silver
41|1|41|3|Silver
42|1|42|3|Silver
43|1|43|3|Silver
44|1|44|3|Silver
45|1|45|3|Silver
46|1|46|3|Silver
47|1|47|3|Silver
48|1|48|4|Bronze
49|1|49|4|Bronze
50|1|50|4|Bronze
51|1|51|4|Bronze
52|1|52|4|Bronze
53|1|53|4|Bronze
54|1|54|4|Bronze
55|1|55|4|Bronze
56|1|56|4|Bronze
57|1|57|4|Bronze
58|1|58|4|Bronze
59|1|59|4|Bronze
60|1|60|4|Gold
61|1|61|4|Gold
62|1|62|4|Gold
63|1|63|4|Gold
64|1|64|4|Gold
65|1|65|4|Gold
66|1|66|4|Gold
67|1|67|4|Gold
68|1|68|4|Gold
69|1|69|4|Silver
70|1|70|4|Silver
71|1|71|4|Silver
72|1|72|4|Silver
73|1|73|4|Silver
74|1|74|4|Silver
75|1|75|4|Silver
76|1|76|4|Silver
77|1|77|4|Silver
78|1|78|4|Silver
79|1|79|5|Bronze
80|1|80|5|Gold
81|1|81|5|Silver
82|1|82|6|Bronze
83|1|83|6|Gold
84|1|84|6|Silver
85|1|85|7|Bronze
86|1|86|8|Bronze
87|1|87|8|Gold
88|1|88|7|Gold
89|1|89|7|Silver
90|1|90|8|Silver
91|1|91|9|Bronze
92|1|92|9|Gold
93|1|93|9|Silver
94|1|94|10|Bronze
95|1|93|10|Gold
96|1|91|10|Silver
97|1|91|11|Bronze
98|1|93|11|Gold
99|1|92|11|Silver
100|1|93|12|Bronze
101|1|91|12|Bronze
102|1|95|12|Gold
103|1|96|12|Silver
104|1|92|13|Bronze
105|1|93|13|Gold
106|1|91|13|Silver
107|1|97|14|Bronze
108|1|98|14|Gold
109|1|99|14|Silver
110|1|99|15|Bronze
111|1|98|15|Gold
112|1|100|15|Silver
113|1|99|16|Bronze
114|1|98|16|Gold
115|1|100|16|Silver
116|1|101|17|Bronze
117|1|102|17|Gold
118|1|103|17|Silver
119|2|104|18|Bronze
120|2|105|18|Bronze
121|2|106|18|Bronze
122|2|107|18|Bronze
123|2|108|18|Bronze
124|2|109|18|Gold
125|2|110|18|Gold
126|2|111|18|Gold
127|2|112|18|Gold
128|2|113|18|Gold
129|2|114|18|Silver
130|2|115|18|Silver
131|2|116|18|Silver
132|2|117|18|Silver
133|2|118|18|Silver
134|2|119|19|Bronze
135|2|116|19|Gold
136|2|120|19|Silver
137|2|121|4|Bronze
138|2|122|4|Bronze
139|2|123|4|Bronze
140|2|124|4|Bronze
141|2|125|4|Bronze
142|2|126|4|Bronze
143|2|127|4|Bronze
144|2|128|4|Bronze
145|2|129|4|Bronze
146|2|130|4|Bronze
147|2|131|4|Bronze
148|2|132|4|Bronze
149|2|133|4|Gold
150|2|134|4|Gold
151|2|135|4|Gold
152|2|136|4|Gold
153|2|137|4|Gold
154|2|138|4|Gold
155|2|139|4|Gold
156|2|140|4|Gold
157|2|141|4|Gold
158|2|142|4|Gold
159|2|143|4|Gold
160|2|144|4|Gold
161|2|145|4|Silver
162|2|146|4|Silver
163|2|147|4|Silver
164|2|148|4|Silver
165|2|149|4|Silver
166|2|150|4|Silver
167|2|151|4|Silver
168|2|152|4|Silver
169|2|153|4|Silver
170|2|154|4|Silver
171|2|155|4|Silver
172|2|156|4|Silver
173|2|157|5|Bronze
174|2|80|5|Gold
175|2|81|5|Silver
176|2|84|6|Bronze
177|2|158|6|Gold
178|2|159|6|Silver
179|2|160|7|Bronze
180|2|161|8|Bronze
181|2|85|7|Gold
182|2|86|8|Gold
183|2|162|8|Silver
184|2|163|7|Silver
185|2|164|10|Bronze
186|2|93|10|Gold
187|2|165|10|Silver
188|2|165|11|Bronze
189|2|164|11|Gold
190|2|92|11|Silver
191|2|166|12|Bronze
192|2|91|12|Bronze
193|2|167|12|Bronze
194|2|93|12|Gold
195|2|165|12|Gold
196|2|168|14|Bronze
197|2|99|14|Gold
198|2|169|14|Silver
199|2|170|15|Bronze
200|2|171|15|Gold
201|2|172|15|Silver
202|2|173|16|Bronze
203|2|99|16|Gold
204|2|174|16|Silver
205|2|175|17|Bronze
206|2|176|17|Gold
207|2|177|17|Silver
208|3|178|2|Bronze
209|3|179|2|Bronze
210|3|180|2|Bronze
211|3|105|2|Bronze
212|3|181|2|Bronze
213|3|106|2|Bronze
214|3|182|2|Bronze
215|3|183|2|Bronze
216|3|184|2|Bronze
217|3|185|2|Bronze
218|3|186|2|Bronze
219|3|187|2|Gold
220|3|109|2|Gold
221|3|110|2|Gold
222|3|118|2|Gold
223|3|188|2|Gold
224|3|189|2|Silver
225|3|190|2|Silver
226|3|191|2|Silver
227|3|192|2|Silver
228|3|193|2|Silver
229|3|194|2|Silver
230|3|195|2|Silver
231|3|196|2|Silver
232|3|197|2|Silver
233|3|198|2|Silver
234|3|190|20|Bronze
235|3|120|20|Bronze
236|3|193|20|Bronze
237|3|196|20|Bronze
238|3|199|20|Bronze
239|3|188|20|Bronze
240|3|200|20|Gold
241|3|197|20|Gold
242|3|201|20|Silver
243|3|202|20|Silver
244|3|203|20|Silver
245|3|204|20|Silver
246|3|205|20|Silver
247|3|206|20|Silver
248|3|207|20|Silver
249|3|208|20|Silver
250|3|209|4|Bronze
251|3|210|4|Bronze
252|3|211|4|Bronze
253|3|212|4|Bronze
254|3|213|4|Bronze
255|3|214|4|Bronze
256|3|215|4|Bronze
257|3|216|4|Bronze
258|3|217|4|Bronze
259|3|218|4|Bronze
260|3|219|4|Gold
261|3|220|4|Gold
262|3|221|4|Gold
263|3|222|4|Gold
264|3|223|4|Gold
265|3|224|4|Gold
266|3|225|4|Gold
267|3|226|4|Gold
268|3|227|4|Gold
269|3|228|4|Gold
